"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/09/2025";"0000";"17,7";"18,1";"17,7";"97,0";"98,0";"97,0";"17,3";"17,7";"17,3";"924,9";"924,9";"924,5";"2,4";"107,0";"7,3";"";"0,0"
"01/09/2025";"0100";"17,7";"17,8";"17,5";"98,0";"98,0";"97,0";"17,3";"17,4";"17,2";"925,1";"925,1";"924,8";"2,4";"129,0";"6,2";"0,20";"0,0"
"01/09/2025";"0200";"17,7";"17,8";"17,6";"97,0";"98,0";"97,0";"17,3";"17,4";"17,2";"924,8";"925,1";"924,8";"2,1";"90,0";"7,4";"0,10";"0,0"
"01/09/2025";"0300";"17,6";"17,7";"17,5";"98,0";"98,0";"97,0";"17,2";"17,3";"17,1";"924,2";"924,8";"924,2";"2,6";"108,0";"7,9";"";"0,0"
"01/09/2025";"0400";"17,4";"17,6";"17,4";"98,0";"98,0";"98,0";"17,0";"17,2";"17,0";"923,7";"924,2";"923,7";"1,8";"84,0";"8,7";"0,20";"0,0"
"01/09/2025";"0500";"17,4";"17,5";"17,3";"98,0";"98,0";"98,0";"17,1";"17,1";"16,9";"923,3";"923,8";"923,3";"1,9";"121,0";"8,2";"0,50";"0,0"
"01/09/2025";"0600";"17,2";"17,4";"17,2";"98,0";"98,0";"98,0";"16,9";"17,1";"16,8";"922,9";"923,3";"922,9";"2,0";"121,0";"8,8";"0,40";"0,0"
"01/09/2025";"0700";"17,3";"17,4";"17,2";"98,0";"98,0";"98,0";"17,0";"17,0";"16,9";"923,0";"923,0";"922,9";"1,9";"106,0";"8,1";"";"0,0"
"01/09/2025";"0800";"16,6";"17,4";"16,5";"98,0";"98,0";"98,0";"16,2";"17,1";"16,2";"923,2";"923,3";"923,0";"2,6";"88,0";"8,0";"1,10";"0,4"
"01/09/2025";"0900";"16,9";"17,1";"16,6";"98,0";"98,0";"98,0";"16,6";"16,7";"16,2";"923,6";"923,6";"923,2";"2,1";"80,0";"7,3";"28,80";"0,2"
"01/09/2025";"1000";"17,5";"17,7";"16,9";"98,0";"98,0";"98,0";"17,2";"17,3";"16,6";"924,2";"924,2";"923,5";"2,3";"76,0";"7,6";"253,60";"0,0"
"01/09/2025";"1100";"18,4";"18,5";"17,5";"97,0";"98,0";"97,0";"18,0";"18,1";"17,2";"924,8";"924,8";"924,2";"2,0";"104,0";"9,4";"539,80";"0,0"
"01/09/2025";"1200";"19,0";"20,3";"18,4";"91,0";"97,0";"89,0";"17,4";"18,9";"17,4";"925,2";"925,2";"924,7";"2,7";"129,0";"6,7";"785,80";"0,0"
"01/09/2025";"1300";"20,0";"21,0";"18,8";"88,0";"95,0";"83,0";"17,9";"19,8";"17,4";"925,2";"925,4";"925,1";"1,7";"128,0";"6,7";"1210,30";"0,2"
"01/09/2025";"1400";"20,9";"21,2";"18,8";"85,0";"94,0";"84,0";"18,3";"19,6";"17,5";"925,0";"925,2";"924,9";"2,1";"69,0";"6,3";"1000,70";"0,0"
"01/09/2025";"1500";"20,6";"22,7";"20,2";"82,0";"88,0";"76,0";"17,4";"19,2";"17,3";"924,3";"925,0";"924,3";"2,8";"151,0";"7,8";"1928,00";"0,0"
"01/09/2025";"1600";"22,9";"23,2";"20,6";"73,0";"85,0";"71,0";"17,8";"19,8";"17,3";"923,6";"924,3";"923,6";"1,9";"95,0";"7,5";"1907,40";"0,0"
"01/09/2025";"1700";"23,5";"23,7";"22,0";"69,0";"77,0";"67,0";"17,5";"18,3";"16,9";"923,0";"923,6";"923,0";"1,8";"106,0";"6,3";"1573,50";"0,0"
"01/09/2025";"1800";"23,2";"23,8";"22,3";"68,0";"74,0";"68,0";"16,9";"18,2";"16,4";"922,9";"923,1";"922,8";"1,8";"127,0";"7,2";"1430,90";"0,0"
"01/09/2025";"1900";"22,0";"23,2";"21,8";"76,0";"76,0";"67,0";"17,5";"18,2";"16,7";"923,0";"923,1";"922,8";"2,0";"133,0";"7,0";"1013,70";"0,0"
"01/09/2025";"2000";"20,1";"22,1";"20,1";"83,0";"84,0";"74,0";"17,2";"17,6";"17,0";"923,3";"923,3";"922,9";"1,4";"92,0";"7,8";"187,00";"0,0"
"01/09/2025";"2100";"18,1";"20,1";"18,1";"96,0";"96,0";"83,0";"17,4";"17,8";"17,1";"923,8";"923,8";"923,3";"2,3";"126,0";"8,0";"6,60";"0,6"
"01/09/2025";"2200";"17,7";"18,2";"17,6";"97,0";"97,0";"96,0";"17,2";"17,6";"17,0";"923,8";"923,9";"923,7";"1,3";"89,0";"8,1";"";"0,4"
"01/09/2025";"2300";"17,7";"17,7";"17,5";"97,0";"97,0";"97,0";"17,3";"17,3";"17,1";"923,9";"923,9";"923,7";"1,8";"120,0";"7,6";"";"0,0"
"02/09/2025";"0000";"17,6";"17,8";"17,6";"98,0";"98,0";"97,0";"17,2";"17,4";"17,2";"924,1";"924,2";"923,9";"2,2";"127,0";"8,7";"";"0,0"
"02/09/2025";"0100";"17,9";"17,9";"17,5";"98,0";"98,0";"98,0";"17,5";"17,5";"17,1";"924,1";"924,2";"924,0";"3,8";"155,0";"11,0";"0,60";"0,6"
"02/09/2025";"0200";"17,7";"18,0";"17,6";"98,0";"98,0";"98,0";"17,3";"17,6";"17,2";"924,2";"924,3";"924,0";"2,9";"133,0";"11,6";"0,10";"2,2"
